sintoma,texto,deficiencia de nutrientes,disponible en ingredientes,source
infecciones frecuentes,de un tiempo a esta parte mi sistema inmune parece bajo y no se por que,vitamina c; vitamina d; zinc,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, leche, yogur, queso, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas",parafraseado
heridas que tardan en curar,mis cortes tardan mucho en cerrar,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",original
heridas que tardan en curar,mis cortes tardan mucho en cerrar y va a peor,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,por las mananas mis cortes tardan mucho en cerrar,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,por las mananas mis cortes tardan mucho en cerrar y cada vez mas frecuente,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,raspones pequenos tardan dias en curar,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",original
heridas que tardan en curar,desde hace semanas raspones pequenos tardan dias en curar,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,desde hace semanas raspones pequenos tardan dias en curar y me preocupa,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,raspones pequenos tardan dias en curar y no se por que,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,las heridas cicatrizan muy lento,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",original
heridas que tardan en curar,estos dias las heridas cicatrizan muy lento y no se por que,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,por las mananas las heridas cicatrizan muy lento,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,estos dias las heridas cicatrizan muy lento y cada vez mas frecuente,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,me salen costras que duran demasiado,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",original
heridas que tardan en curar,desde hace semanas me salen costras que duran demasiado y va a peor,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,ultimamente me salen costras que duran demasiado y me pasa a menudo,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,desde hace semanas me salen costras que duran demasiado,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,los golpes tardan semanas en mejorar,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",original
heridas que tardan en curar,de un tiempo a esta parte los golpes tardan semanas en mejorar y me pasa a menudo,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,estos dias los golpes tardan semanas en mejorar y me pasa a menudo,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
heridas que tardan en curar,los golpes tardan semanas en mejorar y me preocupa,vitamina c; zinc; proteina,"limon, tomate, brocoli, coliflor, patata, sandia, manzana, calabacines, lechuga/endivia, carne vacuno, carne cerdo, carne pollo, carne pavo, salchichas, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, leche, yogur, queso, huevos, champinones",parafraseado
vision nocturna mala,veo mal cuando hay poca luz,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",original
vision nocturna mala,veo mal cuando hay poca luz y va a peor,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,estos dias veo mal cuando hay poca luz,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,desde hace semanas veo mal cuando hay poca luz y cada vez mas frecuente,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,me cuesta conducir de noche,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",original
vision nocturna mala,me cuesta conducir de noche y cada vez mas frecuente,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,de un tiempo a esta parte me cuesta conducir de noche y me preocupa,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,desde hace semanas me cuesta conducir de noche y me preocupa,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,tardo en adaptarme a la oscuridad,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",original
vision nocturna mala,de un tiempo a esta parte tardo en adaptarme a la oscuridad,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,estos dias tardo en adaptarme a la oscuridad,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,ultimamente tardo en adaptarme a la oscuridad y me pasa a menudo,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,la vision nocturna me falla,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",original
vision nocturna mala,desde hace semanas la vision nocturna me falla y no se por que,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,ultimamente la vision nocturna me falla y cada vez mas frecuente,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,desde hace semanas la vision nocturna me falla,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,necesito mas luz para ver bien por la noche,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",original
vision nocturna mala,necesito mas luz para ver bien por la noche y me preocupa,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,ultimamente necesito mas luz para ver bien por la noche y me pasa a menudo,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
vision nocturna mala,desde hace semanas necesito mas luz para ver bien por la noche y me preocupa,vitamina a,"zanahoria, lechuga/endivia, brocoli, huevos, mantequilla, queso, salmon, leche",parafraseado
debilidad muscular,siento debilidad en los musculos,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",original
debilidad muscular,por las mananas siento debilidad en los musculos y no se por que,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,siento debilidad en los musculos y me preocupa,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,por las mananas siento debilidad en los musculos,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me falta fuerza al subir escaleras,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",original
debilidad muscular,ultimamente me falta fuerza al subir escaleras y cada vez mas frecuente,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me falta fuerza al subir escaleras y va a peor,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me falta fuerza al subir escaleras y cada vez mas frecuente,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,se me cansan los brazos rapidamente,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",original
debilidad muscular,se me cansan los brazos rapidamente y no se por que,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,por las mananas se me cansan los brazos rapidamente y me preocupa,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,ultimamente se me cansan los brazos rapidamente y va a peor,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me tiemblan los musculos con esfuerzos leves,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",original
debilidad muscular,por las mananas me tiemblan los musculos con esfuerzos leves y me pasa a menudo,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,ultimamente me tiemblan los musculos con esfuerzos leves y cada vez mas frecuente,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me tiemblan los musculos con esfuerzos leves y va a peor,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,me cuesta levantar peso que antes podia,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",original
debilidad muscular,estos dias me cuesta levantar peso que antes podia y va a peor,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,estos dias me cuesta levantar peso que antes podia,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
debilidad muscular,por las mananas me cuesta levantar peso que antes podia y me preocupa,vitamina d; magnesio; potasio; calcio,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, leche, yogur, queso",parafraseado
calambres musculares,me dan calambres por la noche,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",original
calambres musculares,me dan tirones musculares por la noche,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,por las mananas me dan espasmos por la noche,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,estos dias me dan espasmos por la noche y cada vez mas frecuente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,tengo tirones musculares en las pantorrillas,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",original
calambres musculares,por las mananas tengo tirones musculares en las pantorrillas y me pasa a menudo,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,estos dias tengo tirones musculares en las pantorrillas,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,tengo tirones musculares en las pantorrillas y cada vez mas frecuente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,siento espasmos en las piernas,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",original
calambres musculares,de un tiempo a esta parte siento espasmos en las piernas y me preocupa,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,ultimamente siento espasmos en las piernas,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,de un tiempo a esta parte siento espasmos en las piernas y va a peor,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,se me encogen los musculos de repente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",original
calambres musculares,estos dias se me encogen los musculos de repente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,estos dias se me encogen los musculos de repente y cada vez mas frecuente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,se me encogen los musculos de repente y cada vez mas frecuente,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,me despierto con calambres en los pies,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",original
calambres musculares,me despierto con espasmos en los pies,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,de un tiempo a esta parte me despierto con tirones musculares en los pies,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
calambres musculares,me despierto con tirones musculares en los pies y no se por que,magnesio; potasio; calcio,"aguacate, platano, patata, tomate, calabacines, pepino, brocoli, coliflor, yogur, leche, queso, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, champinones",parafraseado
irritabilidad,estoy mas irritable de lo normal,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",original
irritabilidad,estoy mas irritable de lo normal y me preocupa,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,ultimamente estoy mas irritable de lo normal y cada vez mas frecuente,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,de un tiempo a esta parte estoy mas irritable de lo normal y no se por que,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,cambio de humor con facilidad,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",original
irritabilidad,cambio de humor con facilidad y me preocupa,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,de un tiempo a esta parte cambio de humor con facilidad,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,ultimamente cambio de humor con facilidad,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,me molesta todo y tengo poca paciencia,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",original
irritabilidad,me molesta todo y tengo poca paciencia y me preocupa,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,me molesta todo y tengo poca paciencia y cada vez mas frecuente,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,estos dias me molesta todo y tengo poca paciencia y me pasa a menudo,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,estoy tenso y me enfado por pequenas cosas,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",original
irritabilidad,estoy tenso y me enfado por pequenas cosas y me pasa a menudo,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,ultimamente estoy tenso y me enfado por pequenas cosas,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,desde hace semanas estoy tenso y me enfado por pequenas cosas,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,siento irritabilidad sin motivo claro,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",original
irritabilidad,estos dias siento irritabilidad sin motivo claro y no se por que,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,de un tiempo a esta parte siento irritabilidad sin motivo claro,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
irritabilidad,de un tiempo a esta parte siento irritabilidad sin motivo claro y cada vez mas frecuente,vitamina b6; vitamina d; omega-3,"salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, huevos, champinones, patata, platano, aguacate",parafraseado
ansiedad,me siento nervioso gran parte del dia,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",original
ansiedad,de un tiempo a esta parte me noto nervioso gran parte del dia y me preocupa,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,por las mananas me noto nervioso gran parte del dia,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,me percibo nervioso gran parte del dia y me pasa a menudo,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,me cuesta relajarme y estoy inquieto,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",original
ansiedad,desde hace semanas me cuesta relajarme y estoy inquieto,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,me cuesta relajarme y estoy inquieto y me preocupa,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,de un tiempo a esta parte me cuesta relajarme y estoy inquieto y no se por que,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",parafraseado
ansiedad,tengo sensacion constante de ansiedad,magnesio; vitamina b6; omega-3,"aguacate, platano, patata, champinones, brocoli, salmon, merluza, lubina, gambas/langostinos, mix de marisco/molusco, carne pollo, carne pavo",original
